TEST
Bluetongue virus, strain 1 [TaxId: 40051]
Pseudomonas cepacia, db01 [TaxId: 292]
Rabbit (Oryctolagus cuniculus), muscle isozyme [TaxId: 9986]
Pyrobaculum sp. [TaxId: 1104324]
Banana (Musa acuminata), 1,3-beta-glucanase [TaxId: 4641]
Mycobacterium bovis [TaxId: 1765]
Humicola grisea [TaxId: 5527]
Bacillus subtilis [TaxId: 655816]
Influenza A virus (a/little yellow-shouldered bat/guatemala/060/2010(h17n10)) [TaxId: 1129347]
Vibrio harveyi [TaxId: 669]
Influenza B virus [TaxId: 416659]
Castor bean (Ricinus communis) [TaxId: 3988]
Human (Homo sapiens), isozyme XII [TaxId: 9606]
Neisseria meningitidis [TaxId: 604162]
Sphingomonas paucimobilis, UT26, LinB [TaxId: 13689]
Campoletis sonorensis virus, CsIV [TaxId: 10484]
Ruminiclostridium thermocellum [TaxId: 1249482]
Leaf blotch of barley (Rhynchosporium secalis) [TaxId: 38038]
Humicola grisea [TaxId: 5528]
Baliospermum montanum [TaxId: 316758]
Bar-headed goose (Anser indicus) [TaxId: 8846]
Lavandula lanata [TaxId: 39330]
Cycloclasticus sp. [TaxId: 385025]
French bean (Phaseolus vulgaris) [TaxId: 3885]
Bacillus sp. [TaxId: 253629]
Blastocladiella emersonii [TaxId: 4808]
Poliovirus type 2, strain Lansing [TaxId: 12083]
Palicourea condensata [TaxId: 272141]
Human immunodeficiency virus 1 [TaxId: 11676]
Crab (Callinectes sapidus), alpha and beta domains [TaxId: 6763]
Bacillus sp. [TaxId: 129908]
Dendroaspis polylepis [TaxId: 8620]
Equine rhinitis a virus [TaxId: 47000]
Lactococcus lactis [TaxId: 272623]
Enterococcus faecium [TaxId: 333849]
Emerald rockcod (Pagothenia bernacchii) [TaxId: 40690]
Synechocystis sp. PCC 6803, Scatx1 [TaxId: 1148]
Paenibacillus sp. [TaxId: 324057]
Mouse (Mus musculus), I-AK [TaxId: 10090]
Finegoldia magna [TaxId: 334413]
Plasmodium yoelii [TaxId: 352914]
Acanthopagrus schlegeli [TaxId: 72011]
Photobacterium leiognathi [TaxId: 553611]
SARS coronavirus, (SARS-CoV) [TaxId: 227859]
Moniliophthora perniciosa [TaxId: 153609]
Streptococcus pyogenes [TaxId: 301447]
Solanum melongena [TaxId: 4111]
Peptoclostridium difficile [TaxId: 272563]
Photorhabdus luminescens [TaxId: 29488]
Moritella profunda [TaxId: 111291]
Plasmodium yoelii [TaxId: 5861]
Camponotus japonicus [TaxId: 84547]
Veronica hederifolia [TaxId: 202477]
Taiwan habu (Trimeresurus mucrosquamatus), mucrocetin [TaxId: 103944]
Brachyopsis rostratus [TaxId: 412977]
Sea snail (Conus magus), M VIIa [TaxId: 6492]
Anemonia majano [TaxId: 105399]
Pseudoalteromonas haloplanktis [TaxId: 228]
Mosquito (Anopheles dirus b), isozyme 1-5 [TaxId: 123217]
Sphingopyxis macrogoltabida [TaxId: 33050]
Methylophilus methylotrophus, strain w3a1 [TaxId: 17]
Synechococcus elongatus [TaxId: 32046]
Trametes cervina [TaxId: 295351]
Bacillus agaradhaerens [TaxId: 76935]
Transmissible gastroenteritis virus [TaxId: 11149]
Agrobacterium sp. [TaxId: 361]
Thermococcus sp., 9on-7 [TaxId: 35749]
